Period;Currency;Rate
2003-07-28;SEK;9.1666
2003-08-10;AUD;1.7384
2003-08-18;SEK;9.2411
2003-08-19;SEK;9.3148
2003-08-27;SEK;9.267
2003-09-05;USD;1.0923
2003-09-12;USD;1.1172
2003-09-22;MXN;12.3334
2003-09-24;AUD;1.694
2003-10-02;AUD;1.7131
2003-10-08;AUD;1.7038
2003-10-08;SEK;8.9845
2003-10-13;CAD;1.5458
2003-10-21;GBP;0.6958
2003-11-02;AUD;1.6464
2003-11-10;SEK;8.9757
2003-11-14;AUD;1.6355
2003-11-19;GBP;0.7021
2003-11-27;MXN;13.5095
2003-12-03;SEK;8.987
2003-12-07;USD;1.2087
2003-12-10;GBP;0.7024
2003-12-15;CAD;1.6138
2003-12-16;GBP;0.7062
2003-12-26;USD;
2003-12-27;CAD;
2003-12-29;SEK;9.0891
2004-01-06;MXN;13.9629
2004-01-10;USD;1.2737
2004-01-18;GBP;0.6884
2004-01-27;USD;1.2517
2004-01-28;SEK;9.1255
2004-01-30;AUD;1.6396
2004-02-01;SEK;9.194
2004-02-14;AUD;1.6194
2004-02-15;AUD;1.6194
2004-02-15;CAD;1.6901
2004-02-15;GBP;0.6778
2004-02-27;GBP;0.67
2004-03-02;MXN;13.5953
2004-03-08;AUD;1.6322
2004-03-08;GBP;0.6678
2004-03-09;SEK;9.1653
2004-03-20;AUD;1.6499
2004-03-21;AUD;1.6499
2004-03-25;AUD;1.6404
2004-04-12;AUD;
2004-04-15;GBP;0.668
2004-04-17;GBP;0.6684
2004-04-20;USD;1.1926
2004-04-20;GBP;0.66425
2004-04-24;GBP;0.66985
2004-04-24;SEK;9.1375
2004-05-01;SEK;9.1483
2004-05-04;USD;1.2061
2004-05-09;GBP;0.6719
2004-05-10;MXN;13.832
2004-05-12;SEK;9.1698
2004-05-22;SEK;9.1051
2004-05-27;GBP;0.6662
2004-06-08;AUD;1.7507
2004-06-09;GBP;0.6646
2004-06-10;USD;1.2052
2004-06-13;SEK;9.1589
2004-06-18;SEK;9.1485
2004-06-21;CAD;1.6538
2004-06-23;USD;1.2087
2004-06-25;MXN;13.7445
2004-07-03;AUD;1.7303
2004-07-10;CAD;1.6303
2004-07-19;MXN;14.1473
2004-07-27;USD;1.2168
2004-07-28;USD;1.2034
2004-07-28;CAD;1.6076
2004-07-29;AUD;1.7283
2004-07-29;GBP;0.663
2004-08-17;SEK;9.2324
2004-08-22;CAD;1.5975
2004-08-24;GBP;0.6725
2004-08-31;CAD;1.5958
2004-09-08;CAD;1.5562
2004-09-11;USD;1.2219
2004-09-10;AUD;1.7673
2004-09-15;MXN;14.1324
2004-09-20;SEK;9.0816
2004-09-21;GBP;0.68335
2004-09-29;MXN;14.0735
2004-10-03;SEK;9.0288
2004-10-09;AUD;1.6944
2004-10-12;CAD;1.5477
2004-10-13;SEK;9.0633
2004-10-15;AUD;1.7016
2004-10-19;AUD;1.7175
2004-10-24;USD;1.2606
2004-10-23;MXN;14.4269
2004-10-26;MXN;14.7571
2004-10-27;MXN;14.7151
2004-10-31;MXN;14.678
2004-11-09;CAD;1.5397
2004-11-11;AUD;1.6974
2004-11-13;MXN;14.73
2004-11-15;AUD;1.6767
2004-11-19;SEK;8.9695
2004-11-27;SEK;8.9214
2004-11-30;MXN;14.9401
2004-12-02;SEK;8.9755
2004-12-06;SEK;8.8992
2004-12-09;USD;1.3305
2004-12-10;MXN;15.0515
2004-12-10;SEK;9.014
2004-12-12;SEK;9.014
2004-12-23;AUD;1.758
2004-12-26;USD;1.3542
2004-12-31;CAD;1.6416
2005-01-08;USD;1.32
2005-01-07;AUD;1.7301
2005-01-10;SEK;9.043
2005-01-11;GBP;0.7001
2005-01-23;USD;1.2963
2005-01-26;SEK;9.0725
2005-02-04;USD;1.2958
2005-02-04;CAD;1.6101
2005-02-05;CAD;1.6101
2005-02-05;MXN;14.4764
2005-02-08;MXN;14.3184
2005-02-16;GBP;0.69135
2005-02-21;SEK;9.12
2005-03-04;GBP;0.6876
2005-03-14;AUD;1.6995
2005-03-19;USD;1.3279
2005-03-21;MXN;14.8119
2005-03-23;AUD;1.679
2005-03-27;USD;
2005-04-06;MXN;14.4483
2005-04-09;MXN;14.3229
2005-04-11;AUD;1.6745
2005-04-11;MXN;14.3792
2005-04-17;USD;1.2868
2005-04-26;MXN;14.3379
2005-04-27;USD;1.292
2005-04-28;USD;1.2905
2005-04-29;AUD;1.6565
2005-05-04;USD;1.2953
2005-05-06;USD;1.2947
2005-05-08;SEK;9.1633
2005-05-10;MXN;14.1252
2005-05-10;SEK;9.2005
2005-05-13;MXN;13.936
2005-06-01;AUD;1.6347
2005-06-01;CAD;1.5341
2005-06-10;AUD;1.5952
2005-06-16;SEK;9.275
2005-06-26;USD;1.2082
2005-06-28;CAD;1.4919
2005-07-17;AUD;1.6087
2005-07-22;AUD;1.5859
2005-07-24;MXN;12.9243
2005-07-29;AUD;1.5904
2005-07-30;AUD;1.5904
2005-08-07;MXN;13.1167
2005-08-12;SEK;9.3016
2005-08-16;AUD;1.604
2005-08-29;CAD;1.4634
2005-09-03;AUD;1.6411
2005-09-10;AUD;1.607
2005-09-11;AUD;1.607
2005-09-16;MXN;13.2013
2005-10-02;MXN;12.9878
2005-10-13;SEK;9.372
2005-10-15;MXN;13.139
2005-10-30;USD;1.2138
2005-11-09;AUD;1.5995
2005-11-16;MXN;12.4168
2005-11-23;USD;1.1776
2005-11-23;MXN;12.5194
2005-11-24;MXN;12.5107
2005-11-27;AUD;1.5975
2005-11-28;SEK;9.4585
2005-12-01;CAD;1.3723
2005-12-05;MXN;12.3194
2005-12-06;MXN;12.3031
2005-12-07;SEK;9.3949
2005-12-12;MXN;12.6722
2005-12-14;MXN;12.8049
2005-12-16;AUD;1.6122
2005-12-18;GBP;0.67745
2005-12-17;MXN;12.9074
2006-01-02;GBP;0.6865
2006-01-06;AUD;1.6174
2006-01-07;GBP;0.6888
2006-01-09;USD;1.2078
2006-01-16;MXN;12.7999
2006-01-20;AUD;1.6129
2006-01-21;GBP;0.68525
2006-01-29;CAD;1.396
2006-01-31;GBP;0.6843
2006-02-02;USD;1.2066
2006-02-04;AUD;1.6037
2006-02-03;SEK;9.278
2006-02-06;USD;1.1981
2006-02-11;AUD;1.614
2006-02-22;SEK;9.3762
2006-02-26;AUD;1.6062
2006-02-25;GBP;0.6803
2006-03-05;AUD;1.6123
2006-03-06;SEK;9.4543
2006-03-08;USD;1.1914
2006-03-14;USD;1.1948
2006-03-19;CAD;1.4072
2006-03-23;MXN;13.0483
2006-03-26;CAD;1.3995
2006-03-24;MXN;13.064
2006-03-25;MXN;13.064
2006-03-28;CAD;1.408
2006-03-31;MXN;13.2164
2006-04-07;AUD;1.6653
2006-04-12;AUD;1.6582
2006-04-28;SEK;9.297
2006-04-29;SEK;9.297
2006-05-01;SEK;
2006-05-09;USD;1.2697
2006-05-10;SEK;9.3266
2006-05-13;MXN;14.1559
2006-05-19;CAD;1.4321
2006-05-31;SEK;9.2757
2006-06-14;MXN;14.4123
2006-07-04;MXN;14.1524
2006-07-12;MXN;13.9995
2006-07-19;USD;1.2482
2006-07-19;SEK;9.2585
2006-07-23;AUD;1.6833
2006-07-22;SEK;9.2441
2006-07-24;USD;1.2633
2006-07-30;AUD;1.6652
2006-07-30;MXN;13.8433
2006-08-11;AUD;1.6638
2006-08-20;SEK;9.2085
2006-08-27;AUD;1.6797
2006-08-28;GBP;0.6755
2006-08-30;GBP;0.67405
2006-09-07;CAD;1.4066
2006-09-11;AUD;1.6872
2006-09-12;AUD;1.687
2006-09-15;CAD;1.4203
2006-09-19;MXN;13.819
2006-09-22;MXN;14.2301
2006-09-25;CAD;1.4259
2006-09-26;CAD;1.4149
2006-09-28;SEK;9.2623
2006-10-01;USD;1.266
2006-10-01;AUD;1.6992
2006-10-04;AUD;1.7049
2006-10-05;SEK;9.2895
2006-10-07;AUD;1.6969
2006-10-09;MXN;13.945
2006-10-19;SEK;9.2485
2006-10-29;USD;1.2683
2006-10-28;SEK;9.2215
2006-11-07;AUD;1.65
2006-11-07;CAD;1.4385
2006-11-09;MXN;13.8705
2006-11-09;SEK;9.1195
2006-11-11;AUD;1.6755
2006-11-12;AUD;1.6755
2006-11-13;CAD;1.4572
2006-11-15;USD;1.2792
2006-11-16;SEK;9.0705
2006-11-27;AUD;1.6848
2006-11-28;CAD;1.4863
2006-12-05;USD;1.3331
2006-12-05;SEK;9.0495
2006-12-06;GBP;0.6754
2006-12-19;AUD;1.6824
2006-12-23;SEK;8.9888
2006-12-25;CAD;
2006-12-28;AUD;1.6699
2006-12-30;CAD;1.5281
2006-12-31;GBP;0.6715
2007-01-15;SEK;9.0829
2007-01-18;AUD;1.6423
2007-01-21;AUD;1.6453
2007-01-21;CAD;1.5189
2007-02-10;CAD;1.5296
2007-02-11;CAD;1.5296
2007-02-09;GBP;0.66755
2007-02-12;GBP;0.66565
2007-02-13;CAD;1.5253
2007-02-25;USD;1.3134
2007-03-02;CAD;1.5456
2007-03-05;USD;1.3083
2007-03-07;CAD;1.5451
2007-03-10;CAD;1.5469
2007-03-15;USD;1.3226
2007-03-15;SEK;9.268
2007-03-19;GBP;0.68325
2007-03-21;CAD;1.5409
2007-03-21;MXN;14.7213
2007-04-10;AUD;1.6283
2007-04-12;SEK;9.258
2007-04-21;USD;1.3606
2007-04-28;SEK;9.1435
2007-04-30;CAD;1.5187
2007-05-10;CAD;1.4983
2007-05-11;USD;1.3486
2007-05-16;USD;1.3574
2007-05-18;GBP;0.6839
2007-05-20;MXN;14.5893
2007-05-22;CAD;1.4579
2007-05-27;GBP;0.6775
2007-05-29;GBP;0.6798
2007-06-07;AUD;1.5926
2007-06-07;CAD;1.4267
2007-06-08;SEK;9.3425
2007-06-12;GBP;0.676
2007-06-23;GBP;0.67305
2007-06-25;MXN;14.5665
2007-06-29;AUD;1.5885
2007-07-02;GBP;0.67565
2007-07-09;USD;1.3621
2007-07-13;USD;1.3782
2007-07-13;AUD;1.5879
2007-07-15;AUD;1.5879
2007-07-13;MXN;14.8249
2007-07-16;AUD;1.5774
