restaurant;address;nrGoodReviews;nrBadReviews;nrUndecided
Zondag Noorderplantsoen;Kruissingel 1, 9712XN, Groningen;;;
De Kornuiten;Paterswoldseweg 36, 9726BE, Groningen;;;
Papipa;Zuiderweg 72, 9744AP, Groningen;;;
Ou Hai;Paterswoldseweg 31, 9726BB, Groningen;;;
La Trattoria;Paterswoldseweg 32, 9726BD, Groningen;;;
Smulhuis Zuiderweg;Zuiderweg 12, 9745AD, Groningen;;;
Chinees Indisch Restaurant Kota Radja;Middenweg 17-19, 9745 BL, Groningen;;;
Fujiyama;Grote Markt 21b, 9712HR, Groningen;;;
Fortuna;Kleine Kruisstraat 17, 9712TV, Groningen;;;
Il Lago;S O J Palmelaan 305, 9728VJ, Groningen;;;
Bamboe Garden;Diamantlaan 47-2, 9743BA, Groningen;;;
Weeva;Gedempte Zuiderdiep 43687, 9711HG, Groningen;;;
Ni Hao;Paviljoenlaan 3, 9727KE, Groningen;;;
't Feithhuis;Martinikerkhof 10, 9712JG, Groningen;;;
Restaurant Taj Mahal;Veemarktstraat 94, 9724GC, Groningen;;;
De Smederij;Tuinstraat 2, 9711VD, Groningen;;;
Eetcafé Het Zwarte Schaap;Schuitendiep 52, 9711RD, Groningen;;;
Eetcafé Schuitendiep;Schuitendiep 70, 9711RG, Groningen;;;
Spices;Westersingel 23, 9718CB, Groningen;;;
Eetcafé de Buurvrouw;Oostersingel 152, 9711XL, Groningen;;;
Bistro Basta;Verlengde Hereweg 29, 9721AD, Groningen;;;
Pizzeria Contini;Verlengde Hereweg 24, 9722AC, Groningen;;;
Tebrugge Lunch & Catering;Aweg 8, 9718CS, Groningen;;;
De Grote Frederik;Frederiksplein 7, 9724NH, Groningen;;;
Eetcafé De Eerste Kamer;Peperstraat 9, 9711PC, Groningen;;;
Napoli;Astraat 9, 9718CP, Groningen;;;
Beer&;Rodeweg 1, 9715AW, Groningen;;;
De Tulp;Eikenlaan 5A, 9741 EH, Groningen;;;
Restaurant Digibites;Gedempte Kattendiep 122, 9711PV, Groningen;;;
Four Rose's;Oosterstraat 71, 9711NS, Groningen;;;
Branderij;Poelestraat 55, 9711PK, Groningen;;;
Stadsbar Mauritshuis;Astraat 1, 9718CP, Groningen;;;
Bij Ons;Eikenlaan 316, 9742AP, Groningen;;;
Cafetaria Doornbos;Paterswoldseweg 304, 9727 BW, Groningen;;;
Bistro 't Gerecht;Oude Boteringestraat 45, , Groningen;;;
Satehuis;Herestraat 111, 9711 LG, Groningen;;;
La Regina;Paterswoldseweg 168, 9727 BE, Groningen;;;
New Sin Guang;Pop Dijkemaweg 2, 9731BE, Groningen;;;
WAAR;Helperpark 284, 9723ZA, Groningen;;;
De Ideale Buurman;Reitdiephaven 255, 9746RD, Groningen;;;
Taste and Flavor;Reitdiephaven 161, 9746RC, Groningen;;;
Tian Tian Le;Friesestraatweg 434, 9746TL, Groningen;;;
Wereldrestaurant Wereld Geluk;Atoomweg 3, 9743AJ, Groningen;;;
Hong Kong Garden;Ypemaheerd 2, 9736MA, Groningen;;;
Eetcafé Van de Markt;Paterswoldseweg 5, 9726BA, Groningen;;;
Eten&co;Stettinweg 4, 9723HD, Groningen;;;
Kroewa Thai;Prinsesseweg 25, 9717BB, Groningen;;;
Eetcafé de Stadstuin Noorderplantsoen;Koninginnelaan 45, 9717BN, Groningen;;;
Eetcounter De Weyert;Van Lenneplaan 1, 9721PC, Groningen;;;
Pizzeria Palermo;Werumeus Buningstraat 22, 9721JA, Groningen;;;
Hong Xin;Werumeus Buningstraat 28, 9721JA, Groningen;;;
Happy Garden;Verlengde Hereweg 79, 9721AH, Groningen;;;
Uit de buurt;Verlengde Hereweg 30, 9722AD, Groningen;;;
De Coendersborg;Coendershaag 1, 9722LS, Groningen;;;
Alice Restaurant;Verlengde Hereweg 46, 9722AE, Groningen;;;
Minos Palace;Verlengde Hereweg 62, 9722AG, Groningen;;;
La Scala;Kajuit 319, 9733CX, Groningen;;;
