restaurant;address;nrGoodReviews;nrBadReviews;nrUndecided;score
Wereldrestaurant Wereld Geluk;Atoomweg 3, 9743AJ, Groningen;49;5;0;9.1
Tian Tian Le;Friesestraatweg 434, 9746TL, Groningen;44;0;14;8.8
Bamboe Garden;Diamantlaan 47-2, 9743BA, Groningen;40;5;22;7.6
De Tulp;Eikenlaan 5A, 9741 EH, Groningen;44;8;22;7.4
Eetcafé de Stadstuin Noorderplantsoen;Koninginnelaan 45, 9717BN, Groningen;48;17;2;7.3
Il Lago;S O J Palmelaan 305, 9728VJ, Groningen;22;8;2;7.2
Satehuis;Herestraat 111, 9711 LG, Groningen;26;0;33;7.2
Weeva;Gedempte Zuiderdiep 43687, 9711HG, Groningen;42;10;24;7.1
La Regina;Paterswoldseweg 168, 9727 BE, Groningen;24;10;3;6.9
Ou Hai;Paterswoldseweg 31, 9726BB, Groningen;48;18;13;6.9
Bistro 't Gerecht;Oude Boteringestraat 45, , Groningen;3;1;2;6.7
Four Rose's;Oosterstraat 71, 9711NS, Groningen;43;18;13;6.7
De Ideale Buurman;Reitdiephaven 255, 9746RD, Groningen;27;7;32;6.5
Papipa;Zuiderweg 72, 9744AP, Groningen;25;4;49;6.3
Happy Garden;Verlengde Hereweg 79, 9721AH, Groningen;32;14;21;6.3
Eten&co;Stettinweg 4, 9723HD, Groningen;45;24;26;6.1
De Kornuiten;Paterswoldseweg 36, 9726BE, Groningen;37;22;11;6.1
Fortuna;Kleine Kruisstraat 17, 9712TV, Groningen;15;9;6;6.0
Bistro Basta;Verlengde Hereweg 29, 9721AD, Groningen;26;12;43;5.9
Napoli;Astraat 9, 9718CP, Groningen;41;25;29;5.8
Taste and Flavor;Reitdiephaven 161, 9746RC, Groningen;46;32;9;5.8
Smulhuis Zuiderweg;Zuiderweg 12, 9745AD, Groningen;18;10;31;5.7
Fujiyama;Grote Markt 21b, 9712HR, Groningen;49;34;43;5.6
Bij Ons;Eikenlaan 316, 9742AP, Groningen;19;11;46;5.5
't Feithhuis;Martinikerkhof 10, 9712JG, Groningen;18;11;43;5.5
Uit de buurt;Verlengde Hereweg 30, 9722AD, Groningen;36;31;12;5.3
Chinees Indisch Restaurant Kota Radja;Middenweg 17-19, 9745 BL, Groningen;12;10;7;5.3
La Trattoria;Paterswoldseweg 32, 9726BD, Groningen;16;14;6;5.3
De Coendersborg;Coendershaag 1, 9722LS, Groningen;10;10;30;5.0
Hong Xin;Werumeus Buningstraat 28, 9721JA, Groningen;7;7;13;5.0
Pizzeria Contini;Verlengde Hereweg 24, 9722AC, Groningen;21;24;32;4.8
Eetcafé De Eerste Kamer;Peperstraat 9, 9711PC, Groningen;39;42;2;4.8
Restaurant Digibites;Gedempte Kattendiep 122, 9711PV, Groningen;13;15;6;4.7
Branderij;Poelestraat 55, 9711PK, Groningen;38;46;44;4.7
De Grote Frederik;Frederiksplein 7, 9724NH, Groningen;30;36;38;4.7
Kroewa Thai;Prinsesseweg 25, 9717BB, Groningen;32;37;6;4.7
Eetcafé de Buurvrouw;Oostersingel 152, 9711XL, Groningen;0;4;37;4.5
Hong Kong Garden;Ypemaheerd 2, 9736MA, Groningen;23;32;18;4.4
La Scala;Kajuit 319, 9733CX, Groningen;30;40;10;4.4
Stadsbar Mauritshuis;Astraat 1, 9718CP, Groningen;19;32;43;4.3
Eetcounter De Weyert;Van Lenneplaan 1, 9721PC, Groningen;18;33;40;4.2
WAAR;Helperpark 284, 9723ZA, Groningen;0;12;45;3.9
Tebrugge Lunch & Catering;Aweg 8, 9718CS, Groningen;12;32;40;3.8
Eetcafé Het Zwarte Schaap;Schuitendiep 52, 9711RD, Groningen;23;42;11;3.8
Alice Restaurant;Verlengde Hereweg 46, 9722AE, Groningen;16;43;42;3.7
New Sin Guang;Pop Dijkemaweg 2, 9731BE, Groningen;20;37;2;3.6
Eetcafé Van de Markt;Paterswoldseweg 5, 9726BA, Groningen;17;44;27;3.5
De Smederij;Tuinstraat 2, 9711VD, Groningen;24;49;13;3.5
Pizzeria Palermo;Werumeus Buningstraat 22, 9721JA, Groningen;19;47;13;3.2
Zondag Noorderplantsoen;Kruissingel 1, 9712XN, Groningen;6;29;29;3.2
Cafetaria Doornbos;Paterswoldseweg 304, 9727 BW, Groningen;1;15;20;3.1
Spices;Westersingel 23, 9718CB, Groningen;15;36;2;3.0
Minos Palace;Verlengde Hereweg 62, 9722AG, Groningen;9;40;25;2.9
Beer&;Rodeweg 1, 9715AW, Groningen;8;37;12;2.5
Restaurant Taj Mahal;Veemarktstraat 94, 9724GC, Groningen;8;47;23;2.5
Ni Hao;Paviljoenlaan 3, 9727KE, Groningen;5;41;7;1.6
Eetcafé Schuitendiep;Schuitendiep 70, 9711RG, Groningen;4;45;0;0.8
