author_name,year_of_birth,gender,thesis_title,year_of_defense
Corinne Leduc,(1934-1938),?,Circonstance Année Avenir Parti Herbe Mille,1972
Émile Hoarau-Moreno,c.1906,?,Claire Lequel Pitié Enfant Vague Afin De Haut,1939
Thierry Vasseur,(1907),?,Blanc Garde Retrouver Médecin Triste,1942
Alice Hernandez,C.1927,?,Toit Désirer Dix Où Être Maladie,1956
Corinne-Alex Perez,(1946),?,Inutile Angoisse Discours,1979
Adèle Fernandez,C.1901,?,Quand Charge Été Face,1937
Henri-Rémy Camus,(1924),?,Peine Occasion Tandis Que Cercle,1953
Noémi Bazin,c.1911,?,Arrière Hôtel Y Demain Circonstance Perdu Accord,1941
Augustin Gomes,(1908-1912),?,Tomber Fuir Cent Journal Quatre,1945
Alain Martel,c.1955,?,Miser Coeur Réflexion Désespoir Éviter Changement Projet,1983
Marine Le Dubois,(1904),?,Neuf Devenir Fortune,1936
Constance Allard-Foucher,(1940-1944),?,Rouge Compter Beaucoup Discussion,1975
Tristan Deschamps,c.1930,?,Seigneur Ton Rayon Mériter Tuer,1961
Guillaume Samson,(1913-1917),?,Soi Lendemain Répéter Au,1952
Suzanne Reynaud,c.1914,F,Écrire Sombre Terme Âme Calme Raconter Depuis,1943
Brigitte François,(1909),F,Point Écarter Sentir Noir,1943
Élodie Maillet,(1942),F,Parler Jambe Pendant,1974
Joséphine Vallet,C.1937,F,Folie Animal Pied Sauvage,1971
Lucy-Dorothée Nguyen,C.1945,F,Proposer Entre Aucun Puis,1979
Alex Legros,c.1938,F,Prince Rire Seulement Causer Été Naturellement,1967
Constance Delahaye,c.1945,F,Crainte Fois Sourd Consentir Payer,1979
Pénélope Lesage,(1931-1935),F,Position Veille Ni Simple Mal,1966
Josette du Marchal,c.1916,F,But Crise Tête Commander Voisin,1944
Nath-Adèle Potier,(1907-1911),F,Leur Dormir Détacher Creuser Construire Or Rapporter Pareil,1943
Odette Pierre de la Aubert,C.1947,F,Carte Âme Arme Aimer Vin,1980
