author_name,year_of_birth,gender,thesis_title,year_of_defense
Corinne Leduc,1936,?,Circonstance Année Avenir Parti Herbe Mille,1972
Émile Hoarau-Moreno,1906,?,Claire Lequel Pitié Enfant Vague Afin De Haut,1939
Thierry Vasseur,1907,?,Blanc Garde Retrouver Médecin Triste,1942
Alice Hernandez,1927,?,Toit Désirer Dix Où Être Maladie,1956
Corinne-Alex Perez,1946,?,Inutile Angoisse Discours,1979
Adèle Fernandez,1901,?,Quand Charge Été Face,1937
Henri-Rémy Camus,1924,?,Peine Occasion Tandis Que Cercle,1953
Noémi Bazin,1911,?,Arrière Hôtel Y Demain Circonstance Perdu Accord,1941
Augustin Gomes,1910,?,Tomber Fuir Cent Journal Quatre,1945
Alain Martel,1955,?,Miser Coeur Réflexion Désespoir Éviter Changement Projet,1983
Marine Le Dubois,1904,?,Neuf Devenir Fortune,1936
Constance Allard-Foucher,1942,?,Rouge Compter Beaucoup Discussion,1975
Tristan Deschamps,1930,?,Seigneur Ton Rayon Mériter Tuer,1961
Guillaume Samson,1915,?,Soi Lendemain Répéter Au,1952
Suzanne Reynaud,1914,F,Écrire Sombre Terme Âme Calme Raconter Depuis,1943
Brigitte François,1909,F,Point Écarter Sentir Noir,1943
Élodie Maillet,1942,F,Parler Jambe Pendant,1974
Joséphine Vallet,1937,F,Folie Animal Pied Sauvage,1971
Lucy-Dorothée Nguyen,1945,F,Proposer Entre Aucun Puis,1979
Alex Legros,1938,F,Prince Rire Seulement Causer Été Naturellement,1967
Constance Delahaye,1945,F,Crainte Fois Sourd Consentir Payer,1979
Pénélope Lesage,1933,F,Position Veille Ni Simple Mal,1966
Josette du Marchal,1916,F,But Crise Tête Commander Voisin,1944
Nath-Adèle Potier,1909,F,Leur Dormir Détacher Creuser Construire Or Rapporter Pareil,1943
Odette Pierre de la Aubert,1947,F,Carte Âme Arme Aimer Vin,1980
Nathalie Le Leconte,1913,F,Attirer Métier Autre Rompre Terre Supposer Séparer Possible,1947
Anastasie-Marcelle Allard,1956,F,Reposer Long Six Obéir,1988
Anaïs Jean,1955,F,Brûler Grand Continuer Goût Ton Théâtre Grâce,1988
Frédérique Moreno,1916,F,Sourd Vague Gris Bête,1948
Andrée Mallet,1946,F,Appartenir Plaisir Seigneur Près Étranger,1975
Dorothée de la Perez,1906,F,Digne Réserver Bas,1938
Gabrielle Poulain,1942,F,Machine Mieux Trouver Fin Arrêter Aspect Consulter,1975
Frédérique Petitjean,1937,F,Âme Haut Armer Demain,1971
